awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,prize_links,category,categoryFullName,motivation,topMotivation,laureates.id,gender,laureate_links,knownName,givenName,familyName,fullName,birth.date,birth.place.city,birth.place.country,birth.place.cityNow,birth.place.countryNow,birth.place.continent,birth.place.locationString,death.date,death.place.city,death.place.country,death.place.cityNow,death.place.countryNow,death.place.continent,death.place.locationString,affiliation.1.name,affiliation.1.nameNow,affiliation.1.city,affiliation.1.country,affiliation.1.cityNow,affiliation.1.countryNow,affiliation.1.locationString,affiliation.2.name,affiliation.2.nameNow,affiliation.2.city,affiliation.2.country,affiliation.2.cityNow,affiliation.2.countryNow,affiliation.2.locationString,affiliation.3.name,affiliation.3.nameNow,affiliation.3.locationString,affiliation.3.city,affiliation.3.country,affiliation.3.cityNow,affiliation.3.countryNow,affiliation.4.name,affiliation.4.nameNow,affiliation.4.city,affiliation.4.country,affiliation.4.cityNow,affiliation.4.countryNow,affiliation.4.locationString,residence.1.country,residence.1.countryNow,residence.1.locationString,residence.1.city,residence.1.cityNow,residence.2.country,residence.2.countryNow,residence.2.locationString,acronym,orgName,founded.year,founded.place.city,founded.place.country,founded.place.cityNow,founded.place.countryNow,founded.place.continent,founded.place.locationString,nativeName,penName,foundedCountry,foundedCountryNow,foundedContinent
2006,1,1,2006-10-12,received,10000000,11762169,https://www.nobelprize.org/prizes/literature/2006/summary/,Literature,The Nobel Prize in Literature,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,,808,male,https://www.nobelprize.org/laureate/808,Orhan Pamuk,Orhan,Pamuk,Orhan Pamuk,1952-06-07,Istanbul,Turkey,Istanbul,Turkey,Asia,"Istanbul, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2,1/2,2006-10-13,received,10000000,11762169,https://www.nobelprize.org/prizes/peace/2006/summary/,Peace,The Nobel Peace Prize,for their efforts to create economic and social development from below,,810,,https://www.nobelprize.org/laureate/810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,Ireland,Ireland,,,,,,,Grameen Bank,1976,Dhaka,Bangladesh,Dhaka,Bangladesh,Asia,"Dhaka, Bangladesh",Grameen Bank,,,,
2006,1,1/2,2006-10-13,received,10000000,11762169,https://www.nobelprize.org/prizes/peace/2006/summary/,Peace,The Nobel Peace Prize,for their efforts to create economic and social development from below,,809,male,https://www.nobelprize.org/laureate/809,Muhammad Yunus,Muhammad,Yunus,Muhammad Yunus,1940-06-28,Chittagong,British India,Chittagong,Bangladesh,Asia,"Chittagong, British India (now Bangladesh)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,Italy,Italy,,,,,,,,,,,,,,,,,,,
2006,2,1/2,2006-10-03,received,10000000,11762169,https://www.nobelprize.org/prizes/physics/2006/summary/,Physics,The Nobel Prize in Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,,805,male,https://www.nobelprize.org/laureate/805,George F. Smoot,George F.,Smoot,George F. Smoot,1945-02-20,"Yukon, FL",USA,"Yukon, FL",USA,North America,"Yukon, FL, USA",,,,,,,,University of California,University of California,"Berkeley, CA",USA,"Berkeley, CA",USA,"Berkeley, CA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,1/2,2006-10-03,received,10000000,11762169,https://www.nobelprize.org/prizes/physics/2006/summary/,Physics,The Nobel Prize in Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,,804,male,https://www.nobelprize.org/laureate/804,John C. Mather,John C.,Mather,John C. Mather,1946-08-07,"Roanoke, VA",USA,"Roanoke, VA",USA,North America,"Roanoke, VA, USA",,,,,,,,NASA Goddard Space Flight Center,NASA Goddard Space Flight Center,"Greenbelt, MD",USA,"Greenbelt, MD",USA,"Greenbelt, MD, USA",,,,,,,,,,,,,,,,,,,,,,United Kingdom,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,,,,
2006,1,1/2,2006-10-02,received,10000000,11762169,https://www.nobelprize.org/prizes/medicine/2006/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,,802,male,https://www.nobelprize.org/laureate/802,Andrew Z. Fire,Andrew Z.,Fire,Andrew Z. Fire,1959-04-27,"Stanford, CA",USA,"Stanford, CA",USA,North America,"Stanford, CA, USA",,,,,,,,Stanford University School of Medicine,Stanford University School of Medicine,"Stanford, CA",USA,"Stanford, CA",USA,"Stanford, CA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2,1/2,2006-10-02,received,10000000,11762169,https://www.nobelprize.org/prizes/medicine/2006/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,,803,male,https://www.nobelprize.org/laureate/803,Craig C. Mello,Craig C.,Mello,Craig C. Mello,1960-10-19,"New Haven, CT",USA,"New Haven, CT",USA,North America,"New Haven, CT, USA",,,,,,,,University of Massachusetts Medical School,University of Massachusetts Medical School,"Worcester, MA",USA,"Worcester, MA",USA,"Worcester, MA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1,2007-10-10,received,10000000,11506932,https://www.nobelprize.org/prizes/chemistry/2007/summary/,Chemistry,The Nobel Prize in Chemistry,for his studies of chemical processes on solid surfaces,,816,male,https://www.nobelprize.org/laureate/816,Gerhard Ertl,Gerhard,Ertl,Gerhard Ertl,1936-10-10,Bad Cannstatt,Germany,Bad Cannstatt,Germany,Europe,"Bad Cannstatt, Germany",,,,,,,,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Berlin,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,Ireland,Ireland,Ireland,,,,,,,,,,,,,,,,,,,
2007,2,1/3,2007-10-15,received,10000000,11506932,https://www.nobelprize.org/prizes/economic-sciences/2007/summary/,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for having laid the foundations of mechanism design theory,,821,male,https://www.nobelprize.org/laureate/821,Eric S. Maskin,Eric S.,Maskin,Eric S. Maskin,1950-12-12,"New York, NY",USA,"New York, NY",USA,North America,"New York, NY, USA",,,,,,,,Institute for Advanced Study,Institute for Advanced Study,"Princeton, NJ",USA,"Princeton, NJ",USA,"Princeton, NJ, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1/3,2007-10-15,received,10000000,11506932,https://www.nobelprize.org/prizes/economic-sciences/2007/summary/,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for having laid the foundations of mechanism design theory,,820,male,https://www.nobelprize.org/laureate/820,Leonid Hurwicz,Leonid,Hurwicz,Leonid Hurwicz,1917-08-21,Moscow,Russia,Moscow,Russia,Europe,"Moscow, Russia",2008-06-24,"Minneapolis, MN",USA,"Minneapolis, MN",USA,North America,"Minneapolis, MN, USA",University of Minnesota,University of Minnesota,"Minneapolis, MN",USA,"Minneapolis, MN",USA,"Minneapolis, MN, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
