awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,prize_links,category,categoryFullName,motivation,topMotivation,laureates.id,gender,laureate_links,knownName,givenName,familyName,fullName,birth.date,birth.place.city,birth.place.country,birth.place.cityNow,birth.place.countryNow,birth.place.continent,birth.place.locationString,death.date,death.place.city,death.place.country,death.place.cityNow,death.place.countryNow,death.place.continent,death.place.locationString,affiliation.1.name,affiliation.1.nameNow,affiliation.1.city,affiliation.1.country,affiliation.1.cityNow,affiliation.1.countryNow,affiliation.1.locationString,affiliation.2.name,affiliation.2.nameNow,affiliation.2.city,affiliation.2.country,affiliation.2.cityNow,affiliation.2.countryNow,affiliation.2.locationString,affiliation.3.name,affiliation.3.nameNow,affiliation.3.locationString,affiliation.3.city,affiliation.3.country,affiliation.3.cityNow,affiliation.3.countryNow,affiliation.4.name,affiliation.4.nameNow,affiliation.4.city,affiliation.4.country,affiliation.4.cityNow,affiliation.4.countryNow,affiliation.4.locationString,residence.1.country,residence.1.countryNow,residence.1.locationString,residence.1.city,residence.1.cityNow,residence.2.country,residence.2.countryNow,residence.2.locationString,acronym,orgName,founded.year,founded.place.city,founded.place.country,founded.place.cityNow,founded.place.countryNow,founded.place.continent,founded.place.locationString,nativeName,penName,foundedCountry,foundedCountryNow,foundedContinent
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/chemistry/1901/summary/,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,,160,male,https://www.nobelprize.org/laureate/160,Jacobus H. van 't Hoff,Jacobus H.,van 't Hoff,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,the Netherlands,Rotterdam,the Netherlands,Europe,"Rotterdam, the Netherlands",1911-03-01,Berlin,Germany,Berlin,Germany,Europe,"Berlin, Germany",Berlin University,Berlin University,Berlin,Germany,Berlin,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/literature/1901/summary/,Literature,The Nobel Prize in Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",,569,male,https://www.nobelprize.org/laureate/569,Sully Prudhomme,Sully,Prudhomme,Sully Prudhomme,1839-03-16,Paris,France,Paris,France,Europe,"Paris, France",1907-09-07,Châtenay,France,Châtenay,France,Europe,"Châtenay, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,(pen-name of René François Armand Prudhomme),,,
1901,2,1/2,1901-12-10,received,150782,8722510,https://www.nobelprize.org/prizes/peace/1901/summary/,Peace,The Nobel Peace Prize,"for his lifelong work for international peace conferences, diplomacy and arbitration",,463,male,https://www.nobelprize.org/laureate/463,Frédéric Passy,Frédéric,Passy,Frédéric Passy,1822-05-20,Paris,France,Paris,France,Europe,"Paris, France",1912-06-12,Paris,France,Paris,France,Europe,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1/2,1901-12-10,received,150782,8722510,https://www.nobelprize.org/prizes/peace/1901/summary/,Peace,The Nobel Peace Prize,for his humanitarian efforts to help wounded soldiers and create international understanding,,462,male,https://www.nobelprize.org/laureate/462,Henry Dunant,Henry,Dunant,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Geneva,Switzerland,Europe,"Geneva, Switzerland",1910-10-30,Heiden,Switzerland,Heiden,Switzerland,Europe,"Heiden, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/physics/1901/summary/,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,,1,male,https://www.nobelprize.org/laureate/1,Wilhelm Conrad Röntgen,Wilhelm Conrad,Röntgen,Wilhelm Conrad Röntgen,1845-03-27,Lennep,Prussia,Remscheid,Germany,Europe,"Lennep, Prussia (now Remscheid, Germany)",1923-02-10,Munich,Germany,Munich,Germany,Europe,"Munich, Germany",Munich University,Munich University,Munich,Germany,Munich,Germany,"Munich, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1,1,,received,150782,8722510,https://www.nobelprize.org/prizes/medicine/1901/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",,293,male,https://www.nobelprize.org/laureate/293,Emil von Behring,Emil,von Behring,Emil Adolf von Behring,1854-03-15,Hansdorf,Prussia,Lawice,Poland,Europe,"Hansdorf, Prussia (now Lawice, Poland)",1917-03-31,Marburg,Germany,Marburg,Germany,Europe,"Marburg, Germany",Marburg University,Marburg University,Marburg,Germany,Marburg,Germany,"Marburg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1,1,,received,141847,8205634,https://www.nobelprize.org/prizes/chemistry/1902/summary/,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,,161,male,https://www.nobelprize.org/laureate/161,Emil Fischer,Emil,Fischer,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia,Euskirchen,Germany,Europe,"Euskirchen, Prussia (now Germany)",1919-07-15,Berlin,Germany,Berlin,Germany,Europe,"Berlin, Germany",Berlin University,Berlin University,Berlin,Germany,Berlin,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1,1,,received,141847,8205634,https://www.nobelprize.org/prizes/literature/1902/summary/,Literature,The Nobel Prize in Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",,571,male,https://www.nobelprize.org/laureate/571,Theodor Mommsen,Theodor,Mommsen,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig,Garding,Germany,Europe,"Garding, Schleswig (now Germany)",1903-11-01,Charlottenburg,Germany,Charlottenburg,Germany,Europe,"Charlottenburg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,1/2,1902-12-10,received,141847,8205634,https://www.nobelprize.org/prizes/peace/1902/summary/,Peace,The Nobel Peace Prize,for his eminently practical administration of the Inter-Parliamentary Union,,465,male,https://www.nobelprize.org/laureate/465,Albert Gobat,Albert,Gobat,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Tramelan,Switzerland,Europe,"Tramelan, Switzerland",1914-03-16,Bern,Switzerland,Bern,Switzerland,Europe,"Bern, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,USA,USA,,,,,,,,,,,,,,,,,,,
1902,1,1/2,1902-12-10,received,141847,8205634,https://www.nobelprize.org/prizes/peace/1902/summary/,Peace,The Nobel Peace Prize,for his untiring and skilful directorship of the Bern Peace Bureau,,464,male,https://www.nobelprize.org/laureate/464,Élie Ducommun,Élie,Ducommun,Élie Ducommun,1833-02-19,Geneva,Switzerland,Geneva,Switzerland,Europe,"Geneva, Switzerland",1906-12-07,Bern,Switzerland,Bern,Switzerland,Europe,"Bern, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1,1/2,,received,141847,8205634,https://www.nobelprize.org/prizes/physics/1902/summary/,Physics,The Nobel Prize in Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,,2,male,https://www.nobelprize.org/laureate/2,Hendrik A. Lorentz,Hendrik A.,Lorentz,Hendrik Antoon Lorentz,1853-07-18,Arnhem,the Netherlands,Arnhem,the Netherlands,Europe,"Arnhem, the Netherlands",1928-02-04,,the Netherlands,,the Netherlands,Europe,the Netherlands,Leiden University,Leiden University,Leiden,the Netherlands,Leiden,the Netherlands,"Leiden, the Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,1/2,,received,141847,8205634,https://www.nobelprize.org/prizes/physics/1902/summary/,Physics,The Nobel Prize in Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,,3,male,https://www.nobelprize.org/laureate/3,Pieter Zeeman,Pieter,Zeeman,Pieter Zeeman,1865-05-25,Zonnemaire,the Netherlands,Zonnemaire,the Netherlands,Europe,"Zonnemaire, the Netherlands",1943-10-09,Amsterdam,the Netherlands,Amsterdam,the Netherlands,Europe,"Amsterdam, the Netherlands",Amsterdam University,Amsterdam University,Amsterdam,the Netherlands,Amsterdam,the Netherlands,"Amsterdam, the Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1,1,,received,141847,8205634,https://www.nobelprize.org/prizes/medicine/1902/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",,294,male,https://www.nobelprize.org/laureate/294,Ronald Ross,Ronald,Ross,Ronald Ross,1857-05-13,Almora,India,Almora,India,Asia,"Almora, India",1932-09-16,Putney Heath,United Kingdom,Putney Heath,United Kingdom,Europe,"Putney Heath, United Kingdom",University College,University College,Liverpool,United Kingdom,Liverpool,United Kingdom,"Liverpool, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,1,1,,received,141358,7936836,https://www.nobelprize.org/prizes/chemistry/1903/summary/,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,,162,male,https://www.nobelprize.org/laureate/162,Svante Arrhenius,Svante,Arrhenius,Svante August Arrhenius,1859-02-19,Vik,Sweden,Vik,Sweden,Europe,"Vik, Sweden",1927-10-02,Stockholm,Sweden,Stockholm,Sweden,Europe,"Stockholm, Sweden",Stockholm University,Stockholm University,Stockholm,Sweden,Stockholm,Sweden,"Stockholm, Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,1,1,,received,141358,7936836,https://www.nobelprize.org/prizes/literature/1903/summary/,Literature,The Nobel Prize in Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",,572,male,https://www.nobelprize.org/laureate/572,Bjørnstjerne Bjørnson,Bjørnstjerne,Bjørnson,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Kvikne,Norway,Europe,"Kvikne, Norway",1910-04-26,Paris,France,Paris,France,Europe,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,1,1,1903-12-10,received,141358,7936836,https://www.nobelprize.org/prizes/peace/1903/summary/,Peace,The Nobel Peace Prize,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,,466,male,https://www.nobelprize.org/laureate/466,Randal Cremer,Randal,Cremer,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Fareham,United Kingdom,Europe,"Fareham, United Kingdom",1908-07-22,London,United Kingdom,London,United Kingdom,Europe,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,1,1/2,,received,141358,7936836,https://www.nobelprize.org/prizes/physics/1903/summary/,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,,4,male,https://www.nobelprize.org/laureate/4,Henri Becquerel,Henri,Becquerel,Antoine Henri Becquerel,1852-12-15,Paris,France,Paris,France,Europe,"Paris, France",1908-08-25,,France,,France,Europe,France,École Polytechnique,École Polytechnique,Paris,France,Paris,France,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1/4,,received,141358,7936836,https://www.nobelprize.org/prizes/physics/1903/summary/,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,,6,female,https://www.nobelprize.org/laureate/6,Marie Curie,Marie,Curie,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire,Warsaw,Poland,Europe,"Warsaw, Russian Empire (now Poland)",1934-07-04,Sallanches,France,Sallanches,France,Europe,"Sallanches, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1/4,,received,141358,7936836,https://www.nobelprize.org/prizes/physics/1903/summary/,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,,5,male,https://www.nobelprize.org/laureate/5,Pierre Curie,Pierre,Curie,Pierre Curie,1859-05-15,Paris,France,Paris,France,Europe,"Paris, France",1906-04-19,Paris,France,Paris,France,Europe,"Paris, France",École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,Paris,France,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,1,1,,received,141358,7936836,https://www.nobelprize.org/prizes/medicine/1903/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",,295,male,https://www.nobelprize.org/laureate/295,Niels Ryberg Finsen,Niels Ryberg,Finsen,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Thorshavn,Faroe Islands (Denmark),Europe,"Thorshavn, Faroe Islands (Denmark)",1904-09-24,Copenhagen,Denmark,Copenhagen,Denmark,Europe,"Copenhagen, Denmark",Finsen Medical Light Institute,Finsen Medical Light Institute,Copenhagen,Denmark,Copenhagen,Denmark,"Copenhagen, Denmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1,1,,received,140859,7908819,https://www.nobelprize.org/prizes/chemistry/1904/summary/,Chemistry,The Nobel Prize in Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",,163,male,https://www.nobelprize.org/laureate/163,Sir William Ramsay,Sir William,Ramsay,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Glasgow,Scotland,Europe,"Glasgow, Scotland",1916-07-23,High Wycombe,United Kingdom,High Wycombe,United Kingdom,Europe,"High Wycombe, United Kingdom",University College,University College,London,United Kingdom,London,United Kingdom,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1,1/2,,received,140859,7908819,https://www.nobelprize.org/prizes/literature/1904/summary/,Literature,The Nobel Prize in Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",,573,male,https://www.nobelprize.org/laureate/573,Frédéric Mistral,Frédéric,Mistral,Frédéric Mistral,1830-09-08,Maillane,France,Maillane,France,Europe,"Maillane, France",1914-03-25,Maillane,France,Maillane,France,Europe,"Maillane, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,2,1/2,,received,140859,7908819,https://www.nobelprize.org/prizes/literature/1904/summary/,Literature,The Nobel Prize in Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",,574,male,https://www.nobelprize.org/laureate/574,José Echegaray,José,Echegaray,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Madrid,Spain,Europe,"Madrid, Spain",1916-09-04,Madrid,Spain,Madrid,Spain,Europe,"Madrid, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1,1,1904-12-10,received,140859,7908819,https://www.nobelprize.org/prizes/peace/1904/summary/,Peace,The Nobel Peace Prize,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,,467,,https://www.nobelprize.org/laureate/467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,USA,"Putney, VT, USA","Putney, VT","Putney, VT",,,,,Institute of International Law,1873,Ghent,Belgium,Ghent,Belgium,Europe,"Ghent, Belgium",Institut de droit international,,,,
1904,1,1,,received,140859,7908819,https://www.nobelprize.org/prizes/physics/1904/summary/,Physics,The Nobel Prize in Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,,8,male,https://www.nobelprize.org/laureate/8,Lord Rayleigh,Lord,Rayleigh,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,"Langford Grove, Maldon, Essex",United Kingdom,Europe,"Langford Grove, Maldon, Essex, United Kingdom",1919-06-30,,United Kingdom,,United Kingdom,Europe,United Kingdom,Royal Institution of Great Britain,Royal Institution of Great Britain,London,United Kingdom,London,United Kingdom,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1,1,,received,140859,7908819,https://www.nobelprize.org/prizes/medicine/1904/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",,296,male,https://www.nobelprize.org/laureate/296,Ivan Pavlov,Ivan,Pavlov,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Ryazan,Russia,Europe,"Ryazan, Russia",1936-02-27,Leningrad,Russia,Leningrad,Russia,Europe,"Leningrad, Russia",Military Medical Academy,Military Medical Academy,St. Petersburg,Russia,St. Petersburg,Russia,"St. Petersburg, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1,1,,received,138089,7753291,https://www.nobelprize.org/prizes/chemistry/1905/summary/,Chemistry,The Nobel Prize in Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",,164,male,https://www.nobelprize.org/laureate/164,Adolf von Baeyer,Adolf,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia,Berlin,Germany,Europe,"Berlin, Prussia (now Germany)",1917-08-20,Starnberg,Germany,Starnberg,Germany,Europe,"Starnberg, Germany",Munich University,Munich University,Munich,Germany,Munich,Germany,"Munich, Germany",,,,,,,,,,,,,,,,,,,,,,Italy,Italy,Italy,,,,,,,,,,,,,,,,,,,
1905,1,1,,received,138089,7753291,https://www.nobelprize.org/prizes/literature/1905/summary/,Literature,The Nobel Prize in Literature,because of his outstanding merits as an epic writer,,575,male,https://www.nobelprize.org/laureate/575,Henryk Sienkiewicz,Henryk,Sienkiewicz,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Wola Okrzejska,Poland,Europe,"Wola Okrzejska, Poland",1916-11-15,Vevey,Switzerland,Vevey,Switzerland,Europe,"Vevey, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,France,France,,,,,,,,,,,,,,,,,,,
1905,1,1,1905-12-10,received,138089,7753291,https://www.nobelprize.org/prizes/peace/1905/summary/,Peace,The Nobel Peace Prize,for her audacity to oppose the horrors of war,,468,female,https://www.nobelprize.org/laureate/468,Bertha von Suttner,Bertha,von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire,Prague,Czech Republic,Europe,"Prague, Austrian Empire (now Czech Republic)",1914-06-21,Vienna,Austria,Vienna,Austria,Europe,"Vienna, Austria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1,1,,received,138089,7753291,https://www.nobelprize.org/prizes/physics/1905/summary/,Physics,The Nobel Prize in Physics,for his work on cathode rays,,9,male,https://www.nobelprize.org/laureate/9,Philipp Lenard,Philipp,Lenard,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg,Hungary,Bratislava,Slovakia,Europe,"Pressburg, Hungary (now Bratislava, Slovakia)",1947-05-20,Messelhausen,Germany,Messelhausen,Germany,Europe,"Messelhausen, Germany",Kiel University,Kiel University,Kiel,Germany,Kiel,Germany,"Kiel, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1,1,,received,138089,7753291,https://www.nobelprize.org/prizes/medicine/1905/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his investigations and discoveries in relation to tuberculosis,,297,male,https://www.nobelprize.org/laureate/297,Robert Koch,Robert,Koch,Robert Koch,1843-12-11,Clausthal,Germany,Clausthal-Zellerfeld,Germany,Europe,"Clausthal (now Clausthal-Zellerfeld), Germany",1910-05-27,Baden-Baden,Germany,Baden-Baden,Germany,Europe,"Baden-Baden, Germany",Institute for Infectious Diseases,Institute for Infectious Diseases,Berlin,Germany,Berlin,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,1,1,,received,138536,7556149,https://www.nobelprize.org/prizes/chemistry/1906/summary/,Chemistry,The Nobel Prize in Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",,165,male,https://www.nobelprize.org/laureate/165,Henri Moissan,Henri,Moissan,Henri Moissan,1852-09-28,Paris,France,Paris,France,Europe,"Paris, France",1907-02-20,Paris,France,Paris,France,Europe,"Paris, France",Sorbonne University,Sorbonne University,Paris,France,Paris,France,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,1,1,,received,138536,7556149,https://www.nobelprize.org/prizes/literature/1906/summary/,Literature,The Nobel Prize in Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",,576,male,https://www.nobelprize.org/laureate/576,Giosuè Carducci,Giosuè,Carducci,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany,Val di Castello,Italy,Europe,"Val di Castello, Tuscany (now Italy)",1907-02-16,Bologna,Italy,Bologna,Italy,Europe,"Bologna, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,USA,"Cambridge, MA, USA","Cambridge, MA","Cambridge, MA",,,,,,,,,,,,,,,,,
1906,1,1,1906-12-10,received,138536,7556149,https://www.nobelprize.org/prizes/peace/1906/summary/,Peace,The Nobel Peace Prize,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",,470,male,https://www.nobelprize.org/laureate/470,Theodore Roosevelt,Theodore,Roosevelt,Theodore Roosevelt Jr.,1858-10-27,"New York, NY",USA,"New York, NY",USA,North America,"New York, NY, USA",1919-01-06,"Oyster Bay, NY",USA,"Oyster Bay, NY",USA,North America,"Oyster Bay, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,1,1,,received,138536,7556149,https://www.nobelprize.org/prizes/physics/1906/summary/,Physics,The Nobel Prize in Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,,10,male,https://www.nobelprize.org/laureate/10,J.J. Thomson,J.J.,Thomson,Joseph John Thomson,1856-12-18,Cheetham Hill,United Kingdom,Cheetham Hill,United Kingdom,Europe,"Cheetham Hill, United Kingdom",1940-08-30,Cambridge,United Kingdom,Cambridge,United Kingdom,Europe,"Cambridge, United Kingdom",University of Cambridge,University of Cambridge,Cambridge,United Kingdom,Cambridge,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,1,1/2,,received,138536,7556149,https://www.nobelprize.org/prizes/medicine/1906/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on the structure of the nervous system,,298,male,https://www.nobelprize.org/laureate/298,Camillo Golgi,Camillo,Golgi,Camillo Golgi,1843-07-07,Corteno,Italy,Corteno,Italy,Europe,"Corteno, Italy",1926-01-21,Pavia,Italy,Pavia,Italy,Europe,"Pavia, Italy",Pavia University,Pavia University,Pavia,Italy,Pavia,Italy,"Pavia, Italy",,,,,,,,,,,,,,,,,,,,,,United Kingdom,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,,,,
1906,2,1/2,,received,138536,7556149,https://www.nobelprize.org/prizes/medicine/1906/summary/,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,in recognition of their work on the structure of the nervous system,,299,male,https://www.nobelprize.org/laureate/299,Santiago Ramón y Cajal,Santiago,Ramón y Cajal,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragón,Spain,Petilla de Aragón,Spain,Europe,"Petilla de Aragón, Spain",1934-10-17,Madrid,Spain,Madrid,Spain,Europe,"Madrid, Spain",Madrid University,Madrid University,Madrid,Spain,Madrid,Spain,"Madrid, Spain",,,,,,,,,,,,,,,,,,,,,,USA,USA,USA,,,,,,,,,,,,,,,,,,,
1907,1,1,,received,138796,7161123,https://www.nobelprize.org/prizes/chemistry/1907/summary/,Chemistry,The Nobel Prize in Chemistry,for his biochemical researches and his discovery of cell-free fermentation,,166,male,https://www.nobelprize.org/laureate/166,Eduard Buchner,Eduard,Buchner,Eduard Buchner,1860-05-20,Munich,Bavaria,Munich,Germany,Europe,"Munich, Bavaria (now Germany)",1917-08-13,Focsani,Romania,Focsani,Romania,Europe,"Focsani, Romania",Landwirtschaftliche Hochschule (Agricultural College),Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,Berlin,Germany,"Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1,1,,received,138796,7161123,https://www.nobelprize.org/prizes/literature/1907/summary/,Literature,The Nobel Prize in Literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",,577,male,https://www.nobelprize.org/laureate/577,Rudyard Kipling,Rudyard,Kipling,Rudyard Kipling,1865-12-30,Bombay,British India,Mumbai,India,Asia,"Bombay, British India (now Mumbai, India)",1936-01-18,London,United Kingdom,London,United Kingdom,Europe,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1,1/2,1907-12-10,received,138796,7161123,https://www.nobelprize.org/prizes/peace/1907/summary/,Peace,The Nobel Peace Prize,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",,471,male,https://www.nobelprize.org/laureate/471,Ernesto Teodoro Moneta,Ernesto Teodoro,Moneta,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire,Milan,Italy,Europe,"Milan, Austrian Empire (now Italy)",1918-02-10,Milan,Italy,Milan,Italy,Europe,"Milan, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,2,1/2,1907-12-10,received,138796,7161123,https://www.nobelprize.org/prizes/peace/1907/summary/,Peace,The Nobel Peace Prize,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,,472,male,https://www.nobelprize.org/laureate/472,Louis Renault,Louis,Renault,Louis Renault,1843-05-21,Autun,France,Autun,France,Europe,"Autun, France",1918-02-08,Barbizon,France,Barbizon,France,Europe,"Barbizon, France",Sorbonne University,Sorbonne University,Paris,France,Paris,France,"Paris, France",,,,,,,,,,,,,,,,,,,,,,Denmark,Denmark,Denmark,,,,,,,,,,,,,,,,,,,
